country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","26-03-2026 08:00:00",29.536400,75.015800,PM2.5,58,224,89
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","26-03-2026 08:00:00",30.943887,76.801991,NO2,4,50,18
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","26-03-2026 08:00:00",34.031606,75.009712,PM2.5,27,205,73
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","26-03-2026 08:00:00",12.921418,77.502466,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","26-03-2026 08:00:00",12.921418,77.502466,NH3,3,4,4
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","26-03-2026 08:00:00",12.921418,77.502466,OZONE,22,26,25
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","26-03-2026 08:00:00",29.027200,77.062100,PM2.5,61,301,150
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","26-03-2026 08:00:00",29.027200,77.062100,PM10,107,199,152
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","26-03-2026 08:00:00",28.1485564,77.3320667,NO2,23,24,24
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","26-03-2026 08:00:00",28.1485564,77.3320667,CO,12,144,88
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","26-03-2026 08:00:00",27.9002,76.9938,OZONE,21,26,22
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","26-03-2026 08:00:00",12.9135218,77.5950804,SO2,21,22,22
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","26-03-2026 08:00:00",8.8787,76.6073,PM2.5,41,52,46
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","26-03-2026 08:00:00",8.8787,76.6073,NO2,8,10,9
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","26-03-2026 08:00:00",8.563700,76.886500,NO2,6,7,6
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","26-03-2026 08:00:00",8.5149093,76.9435879,NO2,NA,NA,NA
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","26-03-2026 08:00:00",23.264759,77.381568,NH3,6,9,7
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","26-03-2026 08:00:00",23.210494,77.425409,PM2.5,23,230,69
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","26-03-2026 08:00:00",13.428828,77.731418,PM10,46,78,56
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","26-03-2026 08:00:00",13.428828,77.731418,SO2,10,29,17
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","26-03-2026 08:00:00",13.428828,77.731418,OZONE,13,18,18
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","26-03-2026 08:00:00",13.328028,75.797056,PM2.5,28,76,51
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","26-03-2026 08:00:00",13.328028,75.797056,PM10,20,67,40
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","26-03-2026 08:00:00",13.328028,75.797056,SO2,1,6,2
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","26-03-2026 08:00:00",15.459706,75.008381,PM10,NA,NA,NA
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","26-03-2026 08:00:00",15.459706,75.008381,NH3,NA,NA,NA
India,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB","26-03-2026 08:00:00",13.34194444,74.74694444,PM10,46,105,64
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","26-03-2026 08:00:00",16.802639,75.722694,OZONE,16,17,16
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","26-03-2026 08:00:00",10.073232,76.302765,PM2.5,20,25,23
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","26-03-2026 08:00:00",10.073232,76.302765,PM10,68,77,73
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","26-03-2026 08:00:00",10.073232,76.302765,OZONE,13,15,14
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","26-03-2026 08:00:00",15.3714823,75.1160168,NO2,7,11,10
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","26-03-2026 08:00:00",15.3714823,75.1160168,NH3,1,2,2
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","26-03-2026 08:00:00",17.336318,76.847397,PM10,25,48,39
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","26-03-2026 08:00:00",15.347630,76.181767,NO2,29,30,30
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","26-03-2026 08:00:00",23.81748678,79.446246,PM10,50,144,81
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","26-03-2026 08:00:00",22.9682591,76.064118,PM10,51,212,91
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","26-03-2026 08:00:00",22.9682591,76.064118,NH3,7,15,11
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","26-03-2026 08:00:00",22.9682591,76.064118,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","26-03-2026 08:00:00",12.917348,77.622813,PM2.5,69,155,94
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","26-03-2026 08:00:00",12.917348,77.622813,PM10,84,179,129
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","26-03-2026 08:00:00",12.917348,77.622813,OZONE,32,83,46
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","26-03-2026 08:00:00",26.203442,78.193251,PM10,37,181,106
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","26-03-2026 08:00:00",26.203442,78.193251,OZONE,49,154,78
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","26-03-2026 08:00:00",12.733409,77.298051,PM2.5,48,500,197
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","26-03-2026 08:00:00",12.733409,77.298051,PM10,52,500,149
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","26-03-2026 08:00:00",23.233584,77.400574,NO2,19,86,40
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","26-03-2026 08:00:00",23.233584,77.400574,SO2,7,21,14
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","26-03-2026 08:00:00",23.108440,77.511428,OZONE,4,94,21
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","26-03-2026 08:00:00",22.624758,75.675238,NH3,14,16,14
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","26-03-2026 08:00:00",22.624758,75.675238,OZONE,28,129,60
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","26-03-2026 08:00:00",23.838586,78.759431,SO2,3,17,8
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","26-03-2026 08:00:00",23.8640158,78.80289321,CO,2,10,5
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","26-03-2026 08:00:00",24.58434363,80.8549414,PM10,69,71,70
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","26-03-2026 08:00:00",24.108970,82.645580,PM2.5,58,422,219
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","26-03-2026 08:00:00",19.10122,74.73339,PM2.5,44,151,68
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","26-03-2026 08:00:00",19.10122,74.73339,PM10,66,229,123
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","26-03-2026 08:00:00",19.10122,74.73339,NO2,16,25,21
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","26-03-2026 08:00:00",19.10122,74.73339,NH3,5,7,6
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","26-03-2026 08:00:00",20.719516,77.000253,NO2,6,100,38
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","26-03-2026 08:00:00",19.2157840,73.1997810,NH3,2,6,4
